	ID	Identifier	Title	ApiUrl	RecordCount	ColumnCount
4985	4985	81476eng	Regional accounts; Fixed capital formation by Industry 2008-2011	https://opendata.cbs.nl/ODataApi/OData/81476eng	308	17
4986	4986	81475eng	Regional accounts; Fixed capital formation type of capital good 2008-2011	https://opendata.cbs.nl/ODataApi/OData/81475eng	308	11
4987	4987	37514eng	Regional accounts; income accounts of households 1995-2009	https://opendata.cbs.nl/ODataApi/OData/37514eng	4950	39
4988	4988	37590eng	Regional accounts; production and generation of income by industry	https://opendata.cbs.nl/ODataApi/OData/37590eng	51744	12
4989	4989	81355eng	Regional accounts; production structure 1995-2011	https://opendata.cbs.nl/ODataApi/OData/81355eng	39270	12
4990	4990	81917ENG	Regional accounts; transactions of the sector households 1995-2011	https://opendata.cbs.nl/ODataApi/OData/81917ENG	306	26
4991	4991	3731ENG	Regional economic growth 2002-2006	https://opendata.cbs.nl/ODataApi/OData/3731ENG	5390	5
4992	4992	7124ENG	Regional economic growth 1996-2001	https://opendata.cbs.nl/ODataApi/OData/7124ENG	6468	5
4993	4993	71103ENG	Regional household accounts  1995 - 2001	https://opendata.cbs.nl/ODataApi/OData/71103ENG	2450	96
4994	4994	71053ENG	Regional production structure by SIC'93	https://opendata.cbs.nl/ODataApi/OData/71053ENG	25872	11
4995	4995	82958ENG	Income, consumption, wealth of households: key figures; NA, 2005-2014	https://opendata.cbs.nl/ODataApi/OData/82958ENG	230	57
4996	4996	82959ENG	Income distribution of households; NA, 2005-2014	https://opendata.cbs.nl/ODataApi/OData/82959ENG	230	69
4997	4997	82960ENG	Wealth distribution of households; NA, 2005-2014	https://opendata.cbs.nl/ODataApi/OData/82960ENG	230	66
4998	4998	82595ENG	Current transactions by sectors; NA, 1995-2017	https://opendata.cbs.nl/ODataApi/OData/82595ENG	4356	159
4999	4999	82596ENG	Financial balance sheets and transactions by sectors; NA, 1995-2017	https://opendata.cbs.nl/ODataApi/OData/82596ENG	26136	79
5000	5000	83205ENG	Financial instruments: From-whom-to-whom matrices; NA, 1999-2017	https://opendata.cbs.nl/ODataApi/OData/83205ENG	145920	11
5001	5001	81120eng	GDP, production and expenditures; output and income by sector 1988 - 2012	https://opendata.cbs.nl/ODataApi/OData/81120eng	150	21
5002	5002	82594ENG	Key figures by sector; NA, 1995-2017	https://opendata.cbs.nl/ODataApi/OData/82594ENG	99	56
5003	5003	82641ENG	Non-financial balance sheets; national accounts 1995-2016	https://opendata.cbs.nl/ODataApi/OData/82641ENG	5236	10
5004	5004	81642ENG	Sector accounts; current transactions 1969 - q4 2013	https://opendata.cbs.nl/ODataApi/OData/81642ENG	1458	145
5005	5005	81641ENG	Sector accounts; financial balance sheets and transactions 1990 - q4 2013	https://opendata.cbs.nl/ODataApi/OData/81641ENG	7680	28
5006	5006	81640ENG	Sector accounts; key figures 1969 - q4 2013	https://opendata.cbs.nl/ODataApi/OData/81640ENG	81	54
5007	5007	83803ENG	Sector accounts; seasonally adjusted data, NA, 1999-2017	https://opendata.cbs.nl/ODataApi/OData/83803ENG	152	42
5008	5008	82265ENG	Structure national net lending/borrowing; NA, 1995-2016	https://opendata.cbs.nl/ODataApi/OData/82265ENG	22	50
